"Daily Weather Observations for Adelaide, South Australia for April 2016"
"Prepared at 13:06 GMT on Saturday 14 May 2016   IDCJDW5002.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations are from Kent Town, about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,13.9,28.7,0,,,NW,33,10:48,19.0,43,,NNE,9,1015.1,28.3,25,,NW,13,1012.1
,2016-04-2,15.9,23.8,0,,,WSW,33,13:14,18.7,69,,S,9,1020.4,22.3,47,,WSW,19,1021.8
,2016-04-3,11.6,23.3,0,,,E,26,09:23,17.4,41,,E,11,1027.9,20.6,41,,WSW,13,1024.2
,2016-04-4,10.5,27.6,0,,,N,24,10:07,18.6,45,,NNW,2,1021.4,27.6,25,,W,9,1016.0
,2016-04-5,14.5,28.2,0,,,WSW,33,17:34,22.5,30,,NNE,9,1013.2,22.7,55,,SW,15,1012.1
,2016-04-6,13.5,20.1,4.6,,,SW,39,11:29,14.6,82,,SSW,6,1020.6,18.3,51,,SW,15,1021.7
,2016-04-7,8.8,19.9,0.2,,,WSW,22,15:03,13.9,71,, ,Calm,1027.2,18.2,49,,SW,13,1023.6
,2016-04-8,8.7,20.5,0,,,SSW,24,13:38,13.4,66,, ,Calm,1026.1,18.9,54,,SW,11,1023.9
,2016-04-9,10.4,22.4,0,,,SW,20,14:51,15.9,76,, ,Calm,1024.8,21.5,50,,SW,9,1022.4
,2016-04-10,13.0,22.6,0,,,SW,28,14:31,16.6,84,,ENE,2,1024.7,21.2,58,,SW,17,1023.2
,2016-04-11,15.0,22.6,0.4,,,WSW,35,15:38,18.1,77,,SSW,9,1026.4,22.0,58,,WSW,19,1024.3
,2016-04-12,11.0,24.0,0,,,WSW,35,14:50,17.2,65,,S,7,1028.3,21.7,53,,SW,20,1024.7
,2016-04-13,10.4,24.1,0,,,WSW,24,14:48,17.9,59,,ENE,6,1027.8,22.7,48,,WSW,13,1024.2
,2016-04-14,11.6,27.0,0,,,WNW,20,14:20,17.7,59,, ,Calm,1025.3,26.0,27,,NW,9,1022.7
,2016-04-15,11.9,29.1,0,,,WSW,26,16:38,22.1,36,,NE,7,1022.1,27.6,25,,WSW,11,1019.3
,2016-04-16,11.9,21.4,0,,,ESE,30,15:32,19.2,66,,SSE,9,1023.5,20.5,57,,SSE,13,1022.6
,2016-04-17,11.9,21.6,0,,,SSE,26,10:09,15.2,49,,ESE,9,1025.7,21.2,30,,E,7,1020.6
,2016-04-18,7.8,25.6,0,,,W,24,14:13,19.2,34,,NE,11,1018.7,24.1,32,,WNW,9,1015.3
,2016-04-19,12.0,30.1,0,,,N,24,10:45,21.5,41,,N,6,1016.9,28.8,25,,SW,9,1014.3
,2016-04-20,18.2,29.7,0,,,ENE,30,04:45,25.6,27,,NNE,9,1015.5,25.9,41,,SW,11,1015.7
,2016-04-21,16.0,23.5,0.2,,,WSW,30,13:56,19.1,72,,SSW,13,1022.5,22.9,58,,SW,9,1021.9
,2016-04-22,12.7,20.2,0.2,,,SSE,30,16:58,15.6,70,,S,9,1030.4,18.9,42,,SSE,11,1028.3
,2016-04-23,9.1,20.3,0,,,ENE,26,09:35,15.0,49,, ,Calm,1032.0,20.0,35,,ESE,9,1028.3
,2016-04-24,10.3,25.3,0,,,E,26,10:56,17.7,52,,N,9,1029.3,24.7,21,,NE,9,1025.4
,2016-04-25,9.1,28.1,0,,,N,26,11:22,21.7,31,,NNE,9,1026.7,27.3,21,,SW,6,1023.6
,2016-04-26,12.8,30.1,0,,,WNW,33,12:42,24.2,28,,NNE,7,1023.1,29.4,15,,N,15,1017.8
,2016-04-27,19.9,27.6,0,,,N,44,05:15,24.6,24,,NNE,15,1014.7,26.8,24,,NNW,15,1012.5
,2016-04-28,16.4,26.9,0,,,NNE,28,23:50,17.3,84,,NE,4,1018.0,26.2,40,,N,7,1012.4
,2016-04-29,16.5,24.2,4.0,,,N,33,02:26,17.8,82,,NNE,6,1013.0,23.4,56,,NW,9,1011.1
,2016-04-30,12.4,26.3,0,,,WNW,46,22:50,19.4,53,,NNE,9,1013.0,25.8,18,,NW,19,1007.5
