"Daily Weather Observations for Canberra, Australian Capital Territory for April 2016"
"Prepared at 13:02 GMT on Saturday 14 May 2016   IDCJDW2801.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,6.7,25.0,0,,,NW,41,12:36,11.5,92,8,NNW,6,1018.4,23.8,26,,NW,30,1015.6
,2016-04-2,11.6,26.4,0,,,WNW,43,13:49,15.7,49,7,S,7,1017.9,25.9,26,,WNW,28,1016.6
,2016-04-3,12.2,25.0,0,,,E,39,17:21,16.7,66,8,NE,13,1025.0,23.1,45,2,NW,11,1021.1
,2016-04-4,14.0,25.0,0,,,ENE,31,17:47,17.2,72,8,S,6,1024.0,23.6,43,2,WSW,6,1018.9
,2016-04-5,10.5,29.6,0,,,NW,50,15:30,18.6,73,2,NNW,4,1019.8,28.6,25,1,WNW,31,1014.5
,2016-04-6,16.0,31.1,0,,,WNW,61,13:48,23.7,45,,NW,28,1016.1,30.5,23,,NW,41,1012.4
,2016-04-7,7.9,23.5,0,,,ENE,37,16:55,16.5,53,7,SSE,19,1022.9,22.9,28,,WNW,9,1019.8
,2016-04-8,8.5,19.2,0,,,NW,43,14:04,14.4,70,6,NNE,4,1023.0,17.7,41,8,WNW,19,1020.5
,2016-04-9,4.6,23.3,0,,,NW,26,11:20,13.3,69,,SE,7,1023.4,22.1,35,,NNW,15,1019.2
,2016-04-10,4.1,24.4,0,,,NW,44,13:19,13.5,55,,N,6,1020.6,21.4,37,,NW,31,1016.8
,2016-04-11,2.8,24.2,0,,,E,37,19:56,12.0,67,,N,4,1019.2,23.9,32,,N,11,1016.2
,2016-04-12,11.8,23.7,0,,,E,41,17:10,15.0,64,8,SE,7,1023.6,22.6,33,,SW,13,1020.2
,2016-04-13,11.5,22.6,0,,,ENE,33,18:52,15.8,66,8,ESE,13,1028.3,21.1,43,2,NE,11,1025.7
,2016-04-14,9.7,24.5,0,,,NW,28,15:19,14.8,71,,SE,9,1030.6,24.0,32,,N,6,1026.1
,2016-04-15,6.9,26.4,0,,,WNW,31,12:38,13.3,93,7,E,2,1027.1,26.2,32,,NW,13,1021.7
,2016-04-16,10.2,23.0,0.6,,,NNW,30,16:07,14.0,87,7,SSW,7,1022.3,21.2,50,8,NW,19,1019.3
,2016-04-17,9.5,19.9,3.2,,,E,28,14:16,15.5,78,7,E,13,1023.4,18.7,57,8,ENE,17,1021.0
,2016-04-18,5.7,20.3,0,,,ENE,31,17:24,13.4,82,1,WSW,6,1023.5,19.7,51,4,SW,2,1019.8
,2016-04-19,4.8,23.5,0,,,E,22,19:01,12.4,83,,SSW,4,1023.3,23.0,24,,NNW,7,1020.0
,2016-04-20,7.2,25.0,0,,,ENE,30,19:28,15.0,70,,SE,7,1025.3,24.5,33,5,SSE,6,1021.9
,2016-04-21,8.2,26.1,0,,,W,33,13:53,14.4,83,7, ,Calm,1023.8,24.8,32,,W,20,1019.7
,2016-04-22,12.5,19.0,1.0,,,SSE,33,21:13,14.2,91,8,NNE,6,1022.7,17.1,68,6,SE,13,1020.4
,2016-04-23,9.2,20.6,0.2,,,S,33,01:42,13.0,57,,S,17,1027.0,19.4,36,4,S,9,1025.0
,2016-04-24,5.7,21.1,0,,,ENE,30,11:57,12.6,64,,SW,6,1031.4,19.1,50,6,E,20,1029.0
,2016-04-25,3.9,22.7,0,,,WSW,17,12:20,12.9,75,,NE,6,1032.9,21.9,30,,WNW,9,1028.5
,2016-04-26,1.4,24.3,0,,,WNW,19,12:49,11.3,70,,SSE,9,1031.6,23.8,20,,W,7,1026.5
,2016-04-27,2.2,23.6,0,,,NW,35,13:31,10.2,84,,NW,6,1027.9,22.7,36,,NNW,24,1022.2
,2016-04-28,5.4,24.4,0,,,NNW,37,13:21,12.1,74,, ,Calm,1024.9,23.7,34,,NNW,20,1021.5
,2016-04-29,8.7,25.6,0,,,NW,50,16:50,14.3,69,6, ,Calm,1022.3,24.0,38,6,NNW,28,1017.7
,2016-04-30,14.3,23.4,1.8,,,NW,33,14:07,16.4,92,8,NNW,19,1019.3,22.5,50,,NW,24,1016.2
