"Daily Weather Observations for Hobart, Tasmania for April 2016"
"Prepared at 13:09 GMT on Saturday 14 May 2016   IDCJDW7021.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunsince from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,14.1,23.5,0,5.8,2.0,NW,65,16:49,19.0,58,7,NNW,26,1007.9,22.8,33,7,NW,28,1003.0
,2016-04-2,12.5,18.4,1.2,7.0,6.7,W,80,17:21,13.9,46,2,NW,28,1007.3,17.8,30,6,W,41,1009.1
,2016-04-3,9.5,20.2,0,5.2,8.8,NW,43,13:40,13.4,58,3,NNW,17,1023.1,18.6,39,4,NW,20,1021.7
,2016-04-4,11.9,22.2,0,4.2,10.3,NNW,41,01:02,15.6,54,7,NNW,26,1020.0,21.5,35,7,N,22,1015.5
,2016-04-5,13.0,25.8,0,4.6,3.8,NW,80,13:11,15.5,54,7,NNW,22,1004.7,24.6,33,6,NW,33,999.8
,2016-04-6,13.0,18.0,0,6.2,3.0,SSW,41,14:44,13.8,65,7,SW,6,1009.9,14.3,56,6,SW,20,1009.8
,2016-04-7,6.8,18.3,0,2.6,8.9,NW,46,12:15,12.1,53,1,N,24,1019.2,17.8,42,5,NW,26,1017.6
,2016-04-8,11.7,24.0,0,3.6,8.6,NW,52,12:54,16.2,59,4,N,17,1016.3,22.8,38,6,NW,24,1014.4
,2016-04-9,13.5,20.7,0,4.8,7.6,NW,59,20:58,18.5,47,2,NW,22,1013.9,18.9,40,6,NW,28,1010.3
,2016-04-10,14.8,21.1,0,5.0,4.9,NW,81,12:42,17.6,47,7,NW,22,1004.6,18.6,42,7,WNW,33,1002.5
,2016-04-11,11.6,16.5,0,8.6,4.8,SW,48,07:37,12.8,43,6,WSW,17,1014.0,14.3,44,6,SW,28,1015.8
,2016-04-12,10.6,18.7,0,3.4,5.6,SW,39,14:10,14.6,65,1,N,11,1021.8,16.8,39,6,SW,24,1021.9
,2016-04-13,9.0,15.4,0,2.6,8.7,ESE,28,14:05,11.4,68,7,NNW,6,1029.0,14.6,48,6,SE,17,1028.0
,2016-04-14,8.8,19.6,0,3.6,3.9,NNW,30,10:36,11.0,71,7,NNW,13,1028.5,19.0,47,6,NW,9,1024.6
,2016-04-15,10.9,21.3,0,2.0,5.2,NNW,46,21:47,14.6,65,5,NNW,15,1018.2,20.1,41,7,NNW,22,1013.3
,2016-04-16,11.4,17.2,0,4.0,5.5,SSW,48,17:11,13.3,66,7,SW,15,1020.5,16.0,37,5,WSW,26,1020.7
,2016-04-17,5.8,16.9,0,2.8,9.9,ESE,24,15:03,11.1,62,3,N,13,1027.5,15.2,49,1,ESE,15,1024.9
,2016-04-18,7.2,20.7,0,3.0,8.1,NNW,39,10:07,11.4,65,4,N,19,1023.1,18.2,46,6,ESE,15,1017.8
,2016-04-19,11.4,24.5,0,3.8,9.1,NNW,44,10:47,18.1,39,3,NNW,22,1016.2,23.3,16,5,N,17,1015.7
,2016-04-20,10.6,25.6,0,5.0,8.4,NNW,39,12:50,13.3,58,7,NNW,15,1019.9,25.3,23,5,NW,17,1017.8
,2016-04-21,13.3,16.7,0.8,3.4,0.0,SSW,46,20:49,14.8,84,8,WSW,11,1015.3,15.2,79,7,S,15,1014.4
,2016-04-22,6.0,18.1,2.8,1.4,7.4,NNW,46,20:12,10.7,64,5,NNW,11,1025.2,15.8,41,7,NNW,24,1022.2
,2016-04-23,7.9,18.1,0,3.0,9.2,WSW,24,06:11,11.5,72,3,N,11,1028.4,16.1,46,5,E,9,1026.1
,2016-04-24,8.5,21.8,0,3.0,9.7,NNW,39,06:36,11.8,61,1,NNW,17,1029.9,20.9,33,6,NE,13,1027.6
,2016-04-25,7.4,20.3,0,3.4,9.9,NW,50,05:04,11.2,68,3,NNW,22,1028.1,19.9,36,3,NNW,20,1024.3
,2016-04-26,11.1,25.3,0,2.8,5.5,NW,39,14:13,17.5,45,7,NNW,7,1022.7,24.5,24,5,NW,20,1020.3
,2016-04-27,13.9,24.2,0,3.4,3.9,NNW,46,14:51,18.1,47,7,N,6,1015.5,24.1,30,7,NNW,26,1009.5
,2016-04-28,15.4,15.8,0,3.6,2.8,S,31,07:35,15.6,79,7,SE,13,1014.7,15.0,84,7,E,4,1016.4
,2016-04-29,12.8,21.6,2.6,1.6,2.2,NNW,52,15:42,14.3,85,8,NNW,17,1014.4,19.6,61,8,NNW,20,1007.9
,2016-04-30,10.7,22.3,1.4,1.4,8.2,N,48,14:54,13.9,72,1,NNW,13,1011.9,21.2,43,1,NNW,28,1006.8
