"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2016"
"Prepared at 13:03 GMT on Saturday 14 May 2016   IDCJDW3033.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,13.1,26.5,0,,,N,46,16:26,15.5,72,,NNE,11,1015.4,25.7,35,,NNW,22,1010.9
,2016-04-2,15.5,19.5,0,,,SSW,37,08:57,19.4,58,,SW,6,1015.6,18.3,56,,S,19,1019.9
,2016-04-3,11.3,18.8,0,,,SSW,33,14:56,15.7,65,,S,6,1026.6,18.3,47,,S,15,1025.1
,2016-04-4,9.7,21.2,0,,,SSW,20,12:26,14.8,66,,E,4,1023.2,20.1,54,,SSW,9,1017.6
,2016-04-5,12.3,29.0,0,,,N,48,12:06,20.2,45,,N,19,1013.4,28.2,23,,NNW,22,1009.0
,2016-04-6,13.6,15.6,12.8,,,SW,26,15:32,13.7,99,,WSW,9,1015.3,14.5,91,,WSW,7,1016.8
,2016-04-7,8.3,18.4,6.8,,,SSW,19,10:31,13.7,71,,NW,2,1025.5,17.6,58,,S,7,1023.5
,2016-04-8,11.9,20.0,0,,,SSW,15,15:56,13.6,79,,NNE,6,1023.6,19.4,47,,SSW,4,1022.0
,2016-04-9,10.4,22.3,0,,,SSW,20,12:51,13.7,72,,NE,6,1022.7,21.4,46,,WNW,6,1019.6
,2016-04-10,13.6,23.5,0,,,SW,35,15:41,17.8,62,,WNW,9,1020.1,22.5,43,,SW,17,1017.3
,2016-04-11,14.5,20.1,0,,,S,30,17:48,16.0,77,,WNW,7,1021.6,19.0,68,,SSW,11,1021.2
,2016-04-12,14.0,18.7,0.2,,,SSW,26,09:48,15.2,84,,WSW,6,1025.6,17.9,59,,SSW,13,1023.9
,2016-04-13,11.3,20.0,0.2,,,SSW,26,14:21,16.1,76,,SSE,11,1028.2,18.5,59,,SSW,15,1025.9
,2016-04-14,11.6,27.0,0,,,N,43,13:04,14.9,81,,NNE,9,1026.9,27.0,32,,NNW,15,1022.1
,2016-04-15,13.4,27.0,0,,,S,24,17:28,18.6,56,,E,6,1022.5,25.7,31,,SSW,11,1018.1
,2016-04-16,14.0,20.3,0,,,SSW,33,12:42,16.6,79,, ,Calm,1022.1,16.7,75,,SSE,15,1021.7
,2016-04-17,13.1,19.8,0,,,SW,31,13:48,16.6,51,,SSE,9,1025.6,18.6,50,,SSW,13,1021.6
,2016-04-18,9.8,25.0,0,,,NNW,35,11:11,14.4,70,, ,Calm,1021.1,24.6,38,,NNW,17,1016.4
,2016-04-19,13.6,27.4,0,,,N,31,09:34,20.2,55,,N,11,1019.2,26.9,34,,N,15,1017.0
,2016-04-20,15.3,28.0,0,,,NNW,37,12:23,19.7,53,,NNE,9,1021.6,27.6,31,,N,17,1018.5
,2016-04-21,17.1,24.2,0.4,,,N,31,09:54,21.6,40,,N,17,1018.6,17.8,84,,SSW,9,1019.2
,2016-04-22,14.6,16.7,21.6,,,SSE,35,03:25,15.0,67,,SSW,9,1027.6,15.3,53,,SSW,17,1027.0
,2016-04-23,12.3,18.6,0,,,SSW,28,15:43,15.8,74,,SSE,7,1030.0,17.4,68,,SSW,17,1029.0
,2016-04-24,9.1,20.0,0,,,SSW,19,13:39,12.8,86,,NE,6,1032.1,19.4,59,,SSW,7,1028.7
,2016-04-25,9.9,25.0,0,,,N,33,10:35,14.8,69,,NNE,11,1029.9,24.9,36,,N,17,1026.8
,2016-04-26,11.3,25.6,0,,,NNW,39,11:43,15.4,64,,NNE,9,1028.2,25.2,29,,N,20,1023.4
,2016-04-27,13.0,25.4,0,,,NNW,52,11:57,19.8,41,,N,19,1021.0,24.8,38,,N,19,1016.2
,2016-04-28,19.8,24.9,0,,,N,39,01:14,21.0,47,,NNW,17,1018.3,24.5,48,, ,Calm,1016.5
,2016-04-29,16.9,20.6,0.4,,,NNW,41,08:23,18.9,67,,N,13,1015.4,17.0,94,,NNE,11,1013.7
,2016-04-30,16.4,24.1,6.2,,,NNW,46,10:42,19.7,76,,N,17,1014.8,23.1,57,,N,22,1010.7
