"Daily Weather Observations for Sydney, New South Wales for April 2016"
"Prepared at 13:01 GMT on Saturday 14 May 2016   IDCJDW2124.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,16.6,25.6,0,5.4,10.2,NE,37,14:51,20.2,69,3,W,15,1019.1,24.9,58,1,ENE,28,1015.1
,2016-04-2,18.3,31.2,0,6.8,10.3,SSE,35,23:58,19.9,63,7,W,19,1016.4,29.7,19,3,SW,9,1014.6
,2016-04-3,19.5,25.2,0,6.8,6.7,SSE,35,00:06,21.2,74,6,SSW,17,1024.6,23.3,64,2,ESE,19,1022.1
,2016-04-4,18.7,23.5,94.4,3.4,0.8,ENE,33,19:22,19.5,91,8,SE,6,1023.2,23.3,71,7,ESE,17,1019.6
,2016-04-5,18.6,26.2,6.4,3.0,10.4,,,,23.5,64,1,NNE,9,1020.1,25.6,58,3,NNE,24,1015.2
,2016-04-6,19.9,34.2,0,6.8,10.6,NE,43,15:51,25.0,54,1,ESE,7,1015.9,29.3,46,1,NNE,26,1011.6
,2016-04-7,19.9,20.5,0.2,8.4,0.0,SSE,43,09:19,20.1,59,8,SSE,26,1023.2,19.9,54,7,SSE,19,1022.3
,2016-04-8,17.7,20.6,0,4.0,0.0,ENE,31,16:58,18.8,71,8,W,13,1023.5,20.5,70,8,E,2,1021.2
,2016-04-9,16.0,25.0,0.4,1.2,9.5,ESE,26,13:16,19.3,65,2,WNW,17,1022.0,24.0,57,7,SE,15,1018.8
,2016-04-10,16.1,27.3,0,3.8,9.6,,,,19.3,70,5,WNW,19,1019.8,23.7,51,3,E,19,1015.5
,2016-04-11,16.1,26.5,0,6.4,9.4,WSW,31,10:35,19.6,51,3,WNW,15,1017.5,24.1,46,6,SE,19,1016.4
,2016-04-12,17.4,22.9,8.2,5.6,5.7,S,35,07:19,18.3,85,7,SE,7,1023.1,20.5,68,5,SSE,22,1021.8
,2016-04-13,15.5,24.2,0.6,4.2,8.3,ESE,28,13:08,19.7,72,6,WNW,11,1027.4,22.5,57,2,ESE,19,1026.3
,2016-04-14,15.7,22.9,0.6,3.4,2.4,ENE,33,11:36,18.6,88,7,S,6,1030.2,22.3,62,7,NE,15,1027.5
,2016-04-15,16.5,24.6,1.0,3.4,9.9,NE,33,15:46,21.3,66,6,W,2,1026.4,24.2,51,5,NE,19,1021.8
,2016-04-16,16.6,25.5,0,5.0,9.3,SSE,28,23:01,19.8,69,6,W,7,1021.2,24.7,49,7,ENE,11,1017.8
,2016-04-17,19.1,23.2,0,4.6,3.2,SSW,43,16:05,20.1,73,7,SSW,15,1022.1,20.5,77,7,SSE,17,1020.4
,2016-04-18,15.1,24.2,2.0,3.0,7.6,SSE,37,10:58,18.9,75,6,W,17,1021.8,21.2,68,7,SSE,17,1019.2
,2016-04-19,16.9,23.9,15.0,5.0,6.9,W,24,00:13,19.5,83,3,W,13,1021.7,22.2,68,7,ESE,17,1020.1
,2016-04-20,16.7,25.5,15.8,3.4,10.3,E,22,15:35,19.3,82,3,W,15,1024.6,23.2,66,2,E,13,1022.0
,2016-04-21,17.3,24.5,0,3.4,10.5,ENE,30,13:12,20.2,79,2,W,9,1023.1,24.1,69,5,NE,13,1019.1
,2016-04-22,17.1,25.9,0,4.0,7.1,SSW,44,10:33,20.2,70,1,WNW,13,1020.1,21.8,69,7,S,24,1019.1
,2016-04-23,16.2,20.2,6.6,3.4,1.3,SSW,52,13:40,16.8,83,7,SSW,22,1024.2,16.5,85,6,SSW,17,1024.5
,2016-04-24,15.3,23.1,3.8,2.6,9.9,SSE,43,02:00,20.1,61,5,ESE,22,1029.8,21.5,49,3,ESE,20,1029.3
,2016-04-25,13.1,22.8,0,4.8,10.4,W,20,00:29,16.3,76,1,WNW,13,1032.0,21.7,53,1,ESE,15,1029.4
,2016-04-26,14.2,23.7,0,2.8,9.6,W,22,06:32,17.2,75,3,WNW,13,1030.9,22.2,56,3,E,13,1027.6
,2016-04-27,15.3,23.7,0,2.8,10.7,NE,35,14:19,17.8,78,1,WNW,15,1028.1,23.0,54,2,NE,19,1023.7
,2016-04-28,15.7,25.1,0,5.2,7.7,E,24,14:51,18.4,84,7,W,11,1024.9,23.7,61,1,E,20,1021.5
,2016-04-29,16.0,24.2,0,4.8,4.6,NE,26,15:36,18.8,75,4,W,13,1022.8,23.3,65,8,NE,11,1018.5
,2016-04-30,18.8,26.5,0,3.4,4.5,N,33,11:55,20.5,74,8,NE,4,1018.7,26.0,54,6,WNW,9,1015.6
